French,English
partie,part
histoire,history
seulement,only
police,police
mois,month
car,because
aucun,no
ville,city
chaque,each
bébé,baby
vont,will
pendant,while
aucune,any
place,square
compris,understood
étaient,were
voici,here is
affaire,case
type,type
leurs,their
train,train
façon,way
écoute,listen
dont,whose
premier,first
main,hand
vieux,old
enfant,child
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
minutes,minutes
demandé,request
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
enfin,finally
espère,hope
eau,water
attendez,Wait
boulot,job
dirait,would say
terre,Earth
croire,believe
filles,girls
jouer,to play
